Team,Player,Position,AAV,RemainingYears,ContractStatusAtExpiry
Chicago Blackhawks,Dominic Toninato,C,"$850,000",1,UFA
Chicago Blackhawks,Connor Mylymok,,"$850,000",1,UFA
Chicago Blackhawks,Dillon Boucher,,"$850,000",1,UFA
Chicago Blackhawks,Connor Mackey,D,"$937,500",2,UFA
Chicago Blackhawks,Taige Harding,D,"$930,000",1,RFA then UFA
Chicago Blackhawks,Jake Furlong,D,"$891,666",1,RFA
Chicago Blackhawks,Derrick Pouliot,D,"$850,000",1,UFA
Chicago Blackhawks,Dylan Anhorn,D,"$850,000",1,UFA
Chicago Blackhawks,Ethan Del Mastro,LD,,4,Unsigned RFA/UFA
Chicago Blackhawks,Adam Gajan,G,"$1,050,000",2,RFA
Chicago Blackhawks,Stanislav Berezhnoy,G,"$975,000",1,RFA then UFA
Chicago Blackhawks,Drew Commesso,G,"$875,000",2,RFA then UFA
Colorado Avalanche,Nathan MacKinnon,C,"$12,604,000",5,UFA
Colorado Avalanche,Martin Necas,"C,RW","$11,500,000",8,UFA
Colorado Avalanche,Brock Nelson,C,"$7,500,000",2,UFA
Colorado Avalanche,Gabriel Landeskog,"LW,RW","$7,000,000",3,UFA
Colorado Avalanche,Nazem Kadri,"C,LW","$5,600,000",3,UFA
Colorado Avalanche,Artturi Lehkonen,"LW,RW","$4,500,000",1,UFA
Colorado Avalanche,Jaden Schwartz,LW,"$3,250,000",3,UFA
Colorado Avalanche,Nicolas Roy,"C,RW","$3,000,000",1,UFA
Colorado Avalanche,Logan O'Connor,RW,"$2,500,000",5,UFA
Colorado Avalanche,Parker Kelly,"C,LW","$1,700,000",4,UFA
Colorado Avalanche,Fyodor Svechkov,"C,LW","$1,250,000",2,RFA then UFA
Colorado Avalanche,Zachary L'Heureux,"LW,RW","$875,000",2,RFA then UFA
Colorado Avalanche,Gavin Brindley,RW,"$875,000",2,RFA
Colorado Avalanche,Cale Makar,RD,"$20,400,000",9,UFA
Colorado Avalanche,Devon Toews,LD,"$7,250,000",5,UFA
Colorado Avalanche,Sam Malinski,"LD,RD","$4,750,000",4,UFA
Colorado Avalanche,Brett Kulak,LD,"$4,500,000",5,UFA
Colorado Avalanche,Josh Manson,"RD,LD","$3,950,000",2,UFA
Colorado Avalanche,Noah Juulsen,RD,"$1,100,000",2,UFA
Colorado Avalanche,Brent Burns,RD,"$850,000",1,UFA
Colorado Avalanche,MacKenzie Blackwood,G,"$5,250,000",4,UFA
Colorado Avalanche,Scott Wedgewood,G,"$2,500,000",1,UFA
Colorado Avalanche,Matthew DiMarsico,,"$980,000",2,RFA
Colorado Avalanche,T.J. Hughes,,"$952,500",1,RFA then UFA
Colorado Avalanche,Cooper Gay,RW,"$947,500",1,RFA then UFA
Colorado Avalanche,Nikita Prishchepov,"C,LW","$881,667",1,RFA
Colorado Avalanche,Vinnie Hinostroza,"RW,LW","$875,000",2,UFA
Colorado Avalanche,Adam Beckman,"LW,C","$875,000",2,UFA
Colorado Avalanche,Taylor Makar,"LW,C","$875,000",2,UFA
Colorado Avalanche,Fabian Lysell,"RW,LW","$850,000",1,RFA then UFA
Colorado Avalanche,Georgii Merkulov,C,"$850,000",1,UFA-Group6 then UFA
Colorado Avalanche,Tristen Nielsen,"LW,C","$850,000",1,UFA
Colorado Avalanche,Sampo Ranta,"LW,RW",,1,Unsigned RFA/UFA
Colorado Avalanche,Zakhar Bardakov,"C,LW",,2,Unsigned RFA/UFA
Colorado Avalanche,Gustav Stjernberg,,"$980,000",2,RFA then UFA
Colorado Avalanche,Sean Behrens,D,"$923,333",1,RFA then UFA
Colorado Avalanche,Alex Gagne,D,"$910,000",1,RFA then UFA
Colorado Avalanche,Saige Weinstein,D,"$883,334",2,RFA
Colorado Avalanche,Christian Wolanin,D,"$850,000",1,UFA
Colorado Avalanche,Keaton Middleton,LD,"$850,000",1,UFA
Colorado Avalanche,Domenick Fensore,LD,"$850,000",1,UFA-Group6 then UFA
Colorado Avalanche,Wyatt Aamodt,LD,"$850,000",1,UFA
Colorado Avalanche,Sergei Boikov,D,,0,Unsigned RFA
Colorado Avalanche,Nikita Novosyolov,G,"$980,000",2,RFA
Colorado Avalanche,Ilya Nabokov,G,"$975,000",1,RFA then UFA
Colorado Avalanche,Trent Miner,G,"$850,000",1,UFA-Group6 then UFA
Columbus Blue Jackets,Valeri Nichushkin,"RW,LW","$6,125,000",4,UFA
Columbus Blue Jackets,Charlie Coyle,"C,RW","$6,000,000",6,UFA
Columbus Blue Jackets,Conor Garland,"RW,LW","$6,000,000",6,UFA
Columbus Blue Jackets,Sean Monahan,C,"$5,500,000",3,UFA
Columbus Blue Jackets,Cole Sillinger,"C,LW","$4,625,000",3,UFA
