Team,Year,Round,Status,PickValue,TradeDetails
Columbus Blue Jackets,2028,2,Traded Away,5.71,Mar 5 2026 | Traded Away The Columbus Blue Jackets acquire Conor Garland from the Vancouver Canucks for a 2028 2nd round pick and a 2026 3rd round pick.
Columbus Blue Jackets,2028,3,Own,2.05,
Columbus Blue Jackets,2028,4,Own,0.98,
Columbus Blue Jackets,2028,5,Acquired from Sharks,0.54,"Jun 27 2026 The Washington Capitals acquire a 2026 4th round pick (TOR, #101) from the Columbus Blue Jackets for a 2026 4th round pick (#112) and a 2028 5th round pick (SJS)"
Columbus Blue Jackets,2028,5,Traded Away,0.54,"Jun 25 2026 | Traded Away The Columbus Blue Jackets acquire Valeri Nichushkin from the Colorado Avalanche for a 2026 2nd round pick (STL, #43), a 2027 3rd round pick and a 2028 5th round pick"
Columbus Blue Jackets,2028,6,Own,0.29,
Columbus Blue Jackets,2028,7,Own,0.14,
Columbus Blue Jackets,2029,1,Own,31.29,
Columbus Blue Jackets,2029,2,Own,5.71,
Columbus Blue Jackets,2029,3,Own,2.05,
Columbus Blue Jackets,2029,4,Own,0.98,
Columbus Blue Jackets,2029,5,Own,0.54,
Columbus Blue Jackets,2029,6,Own,0.29,
Columbus Blue Jackets,2029,7,Own,0.14,
Columbus Blue Jackets,2030,1,Own,31.29,
Columbus Blue Jackets,2030,2,Own,5.71,
Columbus Blue Jackets,2030,3,Own,2.05,
Columbus Blue Jackets,2030,4,Own,0.98,
Columbus Blue Jackets,2030,5,Own,0.54,
Columbus Blue Jackets,2030,6,Own,0.29,
Columbus Blue Jackets,2030,7,Own,0.14,
Columbus Blue Jackets,2031,1,Own,31.29,
Columbus Blue Jackets,2031,2,Own,5.71,
Columbus Blue Jackets,2031,3,Own,2.05,
Columbus Blue Jackets,2031,4,Own,0.98,
Columbus Blue Jackets,2031,5,Own,0.54,
Columbus Blue Jackets,2031,6,Own,0.29,
Columbus Blue Jackets,2031,7,Own,0.14,
Dallas Stars,2027,1,Own,14.49,
Dallas Stars,2027,2,Acquired from Predators,5.71,Jul 1 2026 The Nashville Predators acquire Mavrik Bourque and Ilya Lyubushkin from the Dallas Stars for a 2027 2nd round pick and a 2028 3rd round pick (VGK)
Dallas Stars,2027,2,Traded Away,5.71,Mar 4 2026 | Traded Away The Dallas Stars acquire Tyler Myers (50% retained) from the Vancouver Canucks for a 2027 2nd round pick and a 2029 4th round pick.
Dallas Stars,2027,3,Traded Away,2.05,"Mar 7 2025 | Traded Away The Dallas Stars acquired Mikko Rantanen from the Carolina Hurricanes for Logan Stankoven, a conditional 2026 1st round pick, a conditional 2028 1st round pick, a 2026 3rd round pick, a 2027 3rd round pick"
Dallas Stars,2027,4,Own,0.98,
Dallas Stars,2027,5,Own,0.54,
Dallas Stars,2027,6,Own,0.29,
Dallas Stars,2027,7,Own,0.14,
Dallas Stars,2028,1,Traded Away,14.49,"Mar 7 2025 | Traded Away The Dallas Stars acquired Mikko Rantanen from the Carolina Hurricanes for Logan Stankoven, a conditional 2026 1st round pick, a conditional 2028 1st round pick, a 2026 3rd round pick, a 2027 3rd round pick"
Dallas Stars,2028,2,Traded Away,5.71,Jul 10 2025 | Traded Away The Pittsburgh Penguins acquired Matt Dumba and a 2028 2nd round pick from the Dallas Stars for Vladislav Kolyachonok
Dallas Stars,2028,3,Own,2.05,
Dallas Stars,2028,3,Acquired from Golden Knights,2.05,Jul 1 2026 The Nashville Predators acquire Mavrik Bourque and Ilya Lyubushkin from the Dallas Stars for a 2027 2nd round pick and a 2028 3rd round pick (VGK)
Dallas Stars,2028,4,Own,0.98,
Dallas Stars,2028,5,Own,0.54,
Dallas Stars,2028,6,Own,0.29,
Dallas Stars,2028,7,Own,0.14,
Dallas Stars,2029,1,Own,14.49,
Dallas Stars,2029,2,Own,5.71,
Dallas Stars,2029,3,Own,2.05,
Dallas Stars,2029,4,Traded Away,0.98,Mar 4 2026 | Traded Away The Dallas Stars acquire Tyler Myers (50% retained) from the Vancouver Canucks for a 2027 2nd round pick and a 2029 4th round pick.
Dallas Stars,2029,5,Own,0.54,
Dallas Stars,2029,6,Own,0.29,
Dallas Stars,2029,7,Own,0.14,
Dallas Stars,2030,1,Own,14.49,
Dallas Stars,2030,2,Own,5.71,
Dallas Stars,2030,3,Own,2.05,
Dallas Stars,2030,4,Own,0.98,
Dallas Stars,2030,5,Own,0.54,
Dallas Stars,2030,6,Own,0.29,
Dallas Stars,2030,7,Own,0.14,
Dallas Stars,2031,1,Own,14.49,
Dallas Stars,2031,2,Own,5.71,
Dallas Stars,2031,3,Own,2.05,
Dallas Stars,2031,4,Own,0.98,
Dallas Stars,2031,5,Own,0.54,
Dallas Stars,2031,6,Own,0.29,
Dallas Stars,2031,7,Own,0.14,
Detroit Red Wings,2027,1,Own,31.29,
Detroit Red Wings,2027,2,Traded Away,5.71,"Jun 28 2025 | Traded Away The Detroit Red Wings acquired John Gibson from the Anaheim Ducks for Petr Mrazek, a 2027 2nd round pick, and a 2026 4th round pick"
Detroit Red Wings,2027,3,Own,2.05,
Detroit Red Wings,2027,4,Own,0.98,
Detroit Red Wings,2027,5,Own,0.54,
Detroit Red Wings,2027,6,Own,0.29,
Detroit Red Wings,2027,7,Traded Away,0.14,Jul 1 2026 | Traded Away The Detroit Red Wings acquire Keegan Kolesar from the Vegas Golden Knights for a 2029 3rd round pick and a 2027 7th round pick
Detroit Red Wings,2027,7,Acquired from Golden Knights,0.14,Jun 27 2026 The Vegas Golden Knights acquire a 2026 7th round pick (#207) from the Detroit Red Wings for a 2027 7th round pick
Detroit Red Wings,2028,1,Own,31.29,
Detroit Red Wings,2028,2,Own,5.71,
Detroit Red Wings,2028,3,Own,2.05,
Detroit Red Wings,2028,4,Own,0.98,
